,X,Y,name,qs_id,gn_id,woe_id,gn_pop,placetype,gn_fcode,name_adm1,gn_country,woe_adm0,name_adm0,photos,photos_all,photos_1k,photos_9k,photos_sr,photos_9r,pop_sr,aaroncc,actionplan,_placetype,_newplan,wof_id,_joinme,_joinme2
50000,110.86528,27.17167,Hengbanqiao,1033254,1808518.0,,1610.0,,PPLA4,,CN,,,,,,,0,0,3,CN,10.0,locality,import,,,
50001,106.08139,28.61361,Guandu,1033263,1809964.0,,2064.0,,PPL,,CN,,,,,,,0,0,4,CN,10.0,locality,import,,,
50002,124.48333,48.48333,Nirji,137726,2035583.0,,0.0,,PPLA3,,CN,,,,,,,0,0,7,CN,10.0,locality,import,,,
50003,92.55684,28.5563,Shannan Diqu,370515,1280019.0,,0.0,,ADM2,,CN,,,,,,,0,0,0,CN,10.0,county,import,,shannan diqu_county_CN,shannan diqu_county_CN_93_29
50004,117.7475,39.12333,Qingtuozi,561114,1797684.0,,538.0,,PPL,,CN,,,,,,,0,0,2,CN,10.0,locality,import,,,
50005,106.51139,28.76028,Niba,561381,1799431.0,,200.0,,PPL,,CN,,,,,,,0,0,1,CN,10.0,locality,import,,,
50006,116.95826,27.26012,Lichuan Xian,903681,1803778.0,,0.0,,ADM3,,CN,,,,,,,0,0,0,CN,10.0,localadmin,import,,,
50007,108.81576,30.24451,Lichuan Shi,903682,1803779.0,,0.0,,ADM3,,CN,,,,,,,0,0,0,CN,10.0,localadmin,import,,,
50008,107.9454225,21.5661395,防城港市,911186,,26198180.0,,County,,广西省,,23424781.0,中國,16.0,26.0,3.0,1.0,1,2,0,CN,9.0,county,import,,防城港市_county_CN,防城港市_county_CN_108_22
50009,117.41999,39.13333,Dongli Qu,372283,1812452.0,,0.0,,ADM3,,CN,,,,,,,0,0,0,CN,10.0,localadmin,import,,,
50010,110.91299,21.667,茂名市,972404,,2161851.0,,Town,,广东省,,23424781.0,中國,45.0,45.0,9.0,1.0,2,2,0,CN,9.0,locality,import,,,
50011,117.88871,34.40145,Pizhou Shi,1027569,1798595.0,,0.0,,ADM3,,CN,,,,,,,0,0,0,CN,10.0,localadmin,import,,,
50012,109.73583,27.69417,Jiangkouxu,1033225,1806319.0,,1450.0,,PPL,,CN,,,,,,,0,0,3,CN,10.0,locality,import,,,
50013,110.51083,40.54139,Salaqi,1033572,2035196.0,,64704.0,,PPLA3,,CN,,,,,,,0,0,8,CN,10.0,locality,import,,,
50014,109.67861,27.31111,Nanmuping,1033158,1799876.0,,1320.0,,PPL,,CN,,,,,,,0,0,3,CN,10.0,locality,import,,,
50015,112.95333,33.975,Pingdingshan Shi,1027579,1798826.0,,0.0,,ADM2,,CN,,,,,,,0,0,0,CN,10.0,county,import,,pingdingshan shi_county_CN,pingdingshan shi_county_CN_113_34
50016,109.73329,28.70573,Xiangxi Tujiazu Miaozu Zizhizhou,1027507,1790468.0,,0.0,,ADM2,,CN,,,,,,,0,0,0,CN,10.0,county,import,,xiangxi tujiazu miaozu zizhizhou_county_CN,xiangxi tujiazu miaozu zizhizhou_county_CN_110_29
50017,112.17806,37.2025,Gutao,1027570,1798636.0,,42000.0,,PPLA3,,CN,,,,,,,0,0,7,CN,10.0,locality,import,,,
50018,120.40776,27.63403,Pingyang Xian,1027571,1798639.0,,0.0,,ADM3,,CN,,,,,,,0,0,0,CN,10.0,localadmin,import,,,
50019,119.79253,25.51667,Pingtan Xian,1027572,1798676.0,,0.0,,ADM3,,CN,,,,,,,0,0,0,CN,10.0,localadmin,import,,,
50020,114.58333,23.05,Pingtan,1027573,1798685.0,,0.0,,PPLA4,,CN,,,,,,,0,0,0,CN,10.0,locality,import,,,
50021,109.30833,32.31167,Pingli Xian,1027574,1798750.0,,0.0,,ADM3,,CN,,,,,,,0,0,0,CN,10.0,localadmin,import,,,
50022,121.01278,30.69889,Pinghu Shi,1027576,1798786.0,,0.0,,ADM3,,CN,,,,,,,0,0,0,CN,10.0,localadmin,import,,,
50023,115.35814,30.90903,Pinghu,1027577,1798790.0,,0.0,,PPLA4,,CN,,,,,,,0,0,0,CN,10.0,locality,import,,,
50024,119.98556,36.78278,Pingdu Shi,1027578,1798819.0,,0.0,,ADM3,,CN,,,,,,,0,0,0,CN,10.0,localadmin,import,,,
50025,120.4243995,37.365608,招远市,1029532,,12687153.0,,LocalAdmin,,山东省,,23424781.0,中國,1.0,9.0,1.0,1.0,1,1,0,CN,9.0,localadmin,import,,,
50026,120.4851,30.74536,Wuzhen,1031480,1790848.0,,0.0,,PPLA4,,CN,,,,,,,0,0,0,CN,10.0,locality,import,,,
50027,115.09535,29.26262,Wuning Xian,1031481,1791053.0,,0.0,,ADM3,,CN,,,,,,,0,0,0,CN,10.0,localadmin,import,,,
50028,119.25806,35.73917,Wulian Xian,1031482,1791136.0,,0.0,,ADM3,,CN,,,,,,,0,0,0,CN,10.0,localadmin,import,,,
50029,120.61988,31.02374,Wujiang Shi,1031483,1791194.0,,0.0,,ADM3,,CN,,,,,,,0,0,0,CN,10.0,localadmin,import,,,
50030,115.69284,23.77237,Wuhua Xian,1031484,1791232.0,,0.0,,ADM3,,CN,,,,,,,0,0,0,CN,10.0,localadmin,import,,,
50031,102.1018,27.87644,Liangshan Yizu Zizhizhou,1031569,1803984.0,,0.0,,ADM2,,CN,,,,,,,0,0,0,CN,10.0,county,import,,liangshan yizu zizhizhou_county_CN,liangshan yizu zizhizhou_county_CN_102_28
50032,116.10278,35.8125,Liangshan Xian,1031570,1803985.0,,0.0,,ADM3,,CN,,,,,,,0,0,0,CN,10.0,localadmin,import,,,
50033,120.46222,36.38972,即墨,1033205,1805757.0,2168379.0,70733.0,Town,PPL,山东省,CN,23424781.0,中國,,3.0,,1.0,0,1,8,CN,10.0,locality,import,,,
50034,113.1,30.65,Jingling,1033203,1805618.0,,224871.0,,PPL,,CN,,,,,,,0,0,10,CN,10.0,locality,import,,,
50035,106.25001,29.28993,Jijiang,1033207,1805798.0,,61161.0,,PPLA3,,CN,,,,,,,0,0,8,CN,10.0,locality,import,,,
